thr_churn,thr_outreach,mode,eligible_pool_size,n_star,ev_total
0.3,0.7,and,8387,240,1188.71228820117
0.4,0.7,and,6499,184,923.8925082761489
0.3,0.6,and,6680,206,898.6536347908353
0.4,0.6,and,4949,158,726.177654160589
0.3,0.5,and,4112,151,641.9239096751518
0.4,0.5,and,2823,113,512.1986829016864
0.3,0.4,and,1866,84,379.9177717881496
0.5,0.7,and,3919,75,329.20130225233237
0.4,0.4,and,1178,62,301.2983829507045
0.5,0.6,and,2763,63,289.4965334959858
0.5,0.5,and,1410,48,219.4387859688645
0.3,0.3,and,506,29,153.07226302988485
0.5,0.4,and,520,21,104.99158594045926
0.4,0.3,and,272,17,93.9459012983339
0.6,0.7,and,1745,13,76.88728749661033
0.6,0.6,and,1105,11,70.43639027404798
0.6,0.5,and,472,9,46.47077474394273
0.5,0.3,and,103,6,34.50479020248801
0.6,0.4,and,144,4,25.70217653312629
0.7,0.6,and,268,2,23.965615530105246
0.7,0.7,and,472,2,23.965615530105246
0.6,0.3,and,20,1,-2.520147164484495
0.7,0.5,and,98,1,-4.650176829807091
0.7,0.4,and,23,1,-8.32822343506804
0.7,0.3,and,5,1,-12.317878548281637
